a,b,c,d,e,f,g,h,i,j,k,l
1,224.029,59.1797,103.761,4,108.07,0,-4.14272,-4.36873,-4.14272,-3.20103,-10.0676
1,224.747,58.0861,109.365,5,105.907,0,-2.53988,-4.98113,-2.53988,-5.12098,-11.1185
1,223.33,60.2378,116.185,3,102.769,0,-2.89596,-3.14564,-2.89596,-3.64967,-4.28187
1,226.289,66.9632,93.0626,4,108.763,0,-3.23556,-3.34563,-3.23556,-3.82608,-7.3579
1,226.036,69.0007,99.4435,5,106.722,0,-4.20778,-5.3594,-4.20778,-5.67174,-8.5759
1,225.284,65.0041,104.949,4,106.095,0,-4.18017,-5.01409,-4.18017,-3.47907,-10.1804
1,224.18,63.0884,110.024,4,109.09,0,-3.14158,-4.31962,-3.14158,-3.46813,-9.50738
1,223.517,65.3105,116.114,4,101.325,0,-2.22022,-4.11255,-2.22022,-1.37145,-4.2044
1,226.449,71.6487,93.6646,5,107.494,0,-4.52162,-4.48293,-4.52162,-4.16476,-9.23906
1,226.16,73.8459,99.8315,5,106.737,0,-4.53143,-4.89353,-4.53143,-3.67196,-12.7062
1,224.628,72.069,104.485,4,109.254,0,-3.27882,-4.43731,-3.27882,-6.15446,-9.87895
1,224.205,67.7082,110.781,4,108.599,0,-4.41047,-6.8523,-4.41047,-2.30628,-10.1936
1,223.587,69.5456,116.299,3,112.99,0,-2.36463,-2.78744,-2.36463,-2.38093,-4.64206
1,226.365,76.3962,93.4396,4,108.298,0,-2.59979,-3.71079,-2.59979,-4.84878,-9.69001
1,226.074,78.4843,99.7955,5,105.9,0,-3.47794,-5.421,-3.47794,-5.04195,-8.35197
1,226.013,76.8128,105.61,4,109.193,0,-5.00285,-4.98667,-5.00285,-4.5023,-11.6363
1,224.029,72.3616,111.35,5,104.02,0,-4.09744,-6.65402,-4.09744,-4.97482,-11.6291
1,223.342,74.8922,116.562,3,100.84,0,-2.41331,-2.92947,-2.41331,-2.68411,-5.4034
1,226,81.0521,93.9426,4,106.996,0,-4.41174,-3.92549,-4.41174,-4.33601,-7.65057
1,225.931,83.6638,99.5325,5,105.352,0,-4.49863,-4.21518,-4.49863,-3.45354,-8.9887
1,225.995,80.7032,105.432,4,109.541,0,-3.81376,-4.52892,-3.81376,-4.77538,-11.2257
1,224.334,77.416,111.188,4,107.725,0,-5.24923,-6.19335,-5.24923,-3.88885,-11.3056
1,225.723,85.1376,94.1196,5,106.358,0,-4.40338,-3.23931,-4.40338,-3.88256,-8.69324
1,225.786,88.3116,99.6465,5,105.907,0,-4.08176,-5.31681,-4.08176,-3.78414,-8.57908
1,225.619,85.6527,105.889,6,104.728,0,-4.41171,-3.76672,-4.41171,-3.27332,-8.85056
1,224.996,80.4753,111.849,6,104.437,0,-5.18394,-4.89878,-5.18394,-5.05646,-7.25466
1,226.113,91.0475,94.3856,5,106.88,0,-4.09159,-5.36739,-4.09159,-3.97754,-10.0083
1,225.714,92.9711,99.7955,5,105.168,0,-4.11739,-4.60614,-4.11739,-4.7778,-8.88751
1,224.885,90.8861,105.841,5,106.408,0,-4.11576,-6.1613,-4.11576,-3.74904,-8.39701
1,225.52,88.2827,110.924,6,105.226,0,-4.40627,-5.28457,-4.40627,-4.67346,-10.8944
1,225.997,95.4228,94.1085,5,106.009,0,-3.53522,-4.43385,-3.53522,-3.44489,-7.83707
1,225.65,97.7746,100.1,5,104.974,0,-4.40762,-5.31799,-4.40762,-3.03657,-7.85873
1,224.685,95.8442,105.881,5,106.074,0,-4.21671,-5.77074,-4.21671,-4.4117,-8.76442
1,224.083,92.7386,111.659,4,109.375,0,-3.07426,-7.43016,-3.07426,-4.38692,-9.5567
1,225.465,99.1768,94.5475,4,108.166,0,-4.78167,-2.38898,-4.78167,-5.69757,-8.67188
1,225.158,102.098,99.3975,4,108.192,0,-4.4275,-5.53987,-4.4275,-5.40668,-9.22966
1,224.404,100.524,105.995,5,106.264,0,-3.53524,-4.29406,-3.53524,-3.98718,-8.06623
1,224.083,98.2852,111.805,4,109.219,0,-3.16443,-5.93537,-3.16443,-5.11134,-9.73479
1,225.615,104.986,93.8505,4,107.271,0,-3.96042,-4.07227,-3.96042,-4.57014,-8.08219
1,225.376,107.716,100.818,5,107.292,0,-4.1789,-6.65808,-4.1789,-3.40195,-10.5745
1,224.264,105.775,105.349,5,106.901,0,-4.90379,-3.71773,-4.90379,-3.44807,-8.37683
1,223.472,103.259,111.36,5,105.454,0,-4.28297,-5.75449,-4.28297,-3.06372,-10.6774
1,229.722,11.405,94.7086,5,107.562,0,-3.69382,-6.42528,-3.69382,-3.86654,-8.06358
1,230.031,12.393,99.5856,5,107.195,0,-4.90501,-3.23283,-4.90501,-4.55547,-9.92132
1,229.202,10.4161,106.251,5,106.919,0,-4.64341,-5.60472,-4.64341,-5.08789,-10.8215
1,227.23,11.1068,111.131,5,106.304,0,-4.42312,-5.18129,-4.42312,-3.10726,-8.57727
1,227.887,10.7061,117.403,3,99.0683,0,-2.28263,-3.63742,-2.28263,-2.01529,-5.06219
1,230.352,16.4242,92.9675,5,107.365,0,-4.16825,-5.91838,-4.16825,-3.45802,-8.14766
1,229.613,19.0569,100.419,5,103.481,0,-3.75025,-6.10692,-3.75025,-6.38405,-8.82798
1,228.375,17.2936,105.045,5,106.425,0,-4.26089,-4.86961,-4.26089,-4.31355,-10.9124
1,228.233,15.2559,111.593,5,106.022,0,-3.53193,-6.67887,-3.53193,-4.76705,-9.81227
1,230.772,21.3385,93.4155,5,106.464,0,-3.96155,-6.35638,-3.96155,-2.56672,-11.8223
1,230.604,23.0055,99.3076,4,108.856,0,-4.84654,-5.66801,-4.84654,-3.9847,-12.1547
1,228.947,22.3011,105.375,5,105.601,0,-4.25821,-5.95614,-4.25821,-3.6522,-9.74828
1,228.594,19.9229,111.151,4,107.569,0,-2.7526,-5.495,-2.7526,-4.42115,-9.57951
1,227.204,21.3841,117.17,4,100.542,0,-2.85047,-3.71206,-2.85047,-1.42331,-4.46155
1,230.576,26.087,93.2026,5,107.228,0,-4.36894,-3.49934,-4.36894,-4.59088,-9.05323
1,230.668,28.4014,99.3185,5,105.058,0,-4.04621,-6.23558,-4.04621,-3.23413,-8.15943
1,229.097,27.0706,105.185,5,106.227,0,-4.03092,-5.79402,-4.03092,-3.25931,-10.8545
1,228.308,24.7771,111.543,5,106.088,0,-4.22592,-5.17629,-4.22592,-4.59729,-10.5934
1,227.455,25.712,116.853,4,100.284,0,-2.40551,-4.40279,-2.40551,-2.50039,-5.97578
1,231.31,30.4612,94.3306,5,107.194,0,-4.0352,-5.49671,-4.0352,-5.31354,-10.9673
1,230.588,33.6452,99.1176,5,106.143,0,-3.87221,-5.73907,-3.87221,-5.80061,-8.78557
1,229.473,31.6863,104.923,5,106.258,0,-4.2462,-5.88489,-4.2462,-5.55241,-9.34464
1,228.684,29.7247,110.811,5,106.527,0,-4.07443,-5.80942,-4.07443,-3.61595,-9.27897
1,227.751,29.9007,117.107,4,107.557,0,-3.66241,-3.26033,-3.66241,-3.73788,-4.48557
1,231.861,36.0652,93.7686,6,104.136,0,-4.40653,-4.50364,-4.40653,-3.7244,-9.38909
1,230.824,38.5861,98.7955,5,106.925,0,-4.16415,-8.23388,-4.16415,-5.13246,-7.25066
1,229.817,36.5162,104.748,5,105.791,0,-3.57891,-6.31729,-3.57891,-3.53433,-8.3149
1,228.896,34.6051,110.493,5,105.572,0,-3.95015,-7.00215,-3.95015,-4.13376,-8.53835
1,228.056,35.7055,116.409,4,108.222,0,-3.64536,-4.12364,-3.64536,-3.89273,-6.64812
1,232.028,41.2,93.5795,5,105.471,0,-3.26344,-5.72799,-3.26344,-3.70383,-8.21653
1,230.964,43.3756,98.5886,5,106.489,0,-3.92011,-5.94133,-3.92011,-5.21368,-7.68516
1,229.969,41.2795,104.37,5,106.256,0,-4.65119,-6.72906,-4.65119,-4.17777,-11.1468
1,229.104,39.3067,110.422,5,105.699,0,-4.11371,-8.12961,-4.11371,-5.19935,-9.7045
1,228.515,39.7217,117.438,5,104.948,0,-3.10417,-2.68821,-3.10417,-2.56337,-4.90614
